CustomerKey,Customer Code,City,State,Name,Education,Occupation,CountryRegionKey
188,11187,Burien,Washington,"Cooper, Jennifer",Graduate Degree,Management,3
189,11188,San Gabriel,California,"Morris, Catherine",Graduate Degree,Management,3
190,11189,Bellingham,Washington,"Blanco, Lawrence",Graduate Degree,Management,3
191,11190,Beverly Hills,California,"Bryant, Carson",Bachelors,Management,3
202,11201,Santa Monica,California,"Foster, Amanda",Bachelors,Management,3
203,11202,Lakewood,California,"Price, Alexia",Bachelors,Management,3
205,11204,Beaverton,Oregon,"Rivera, Destiny",High School,Professional,3
206,11205,Burien,Washington,"Fernandez, Abby",High School,Professional,3
207,11206,Lynnwood,Washington,"Flores, Blake",Partial College,Professional,3
208,11207,Renton,Washington,"Cox, Danielle",Partial College,Professional,3
209,11208,Glendale,California,"Reed, Maria",Bachelors,Management,3
210,11209,Lincoln Acres,California,"Evans, Allison",Bachelors,Management,3
211,11210,West Covina,California,"Wood, Edward",Partial College,Professional,3
214,11213,Edmonds,Washington,"Murphy, Stephanie",Partial College,Professional,3
215,11214,Milwaukie,Oregon,"Miller, Charles",Partial College,Professional,3
217,11216,Portland,Oregon,"Torres, Jasmine",Partial College,Professional,3
218,11217,Portland,Oregon,"Adams, Natalie",Partial College,Professional,3
219,11218,Tacoma,Washington,"Brown, Olivia",Partial College,Professional,3
220,11219,Woodburn,Oregon,"Cook, Charles",High School,Professional,3
221,11220,Colma,California,"Huang, Erica",Partial College,Professional,3
222,11221,Lakewood,California,"Perry, Nathan",Partial College,Professional,3
223,11222,Santa Monica,California,"Rivera, Alexandra",Bachelors,Management,3
225,11224,Burien,Washington,"Li, Tiffany",High School,Professional,3
226,11225,Renton,Washington,"Lee, Madison",Partial College,Professional,3
227,11226,W. Linn,Oregon,"Ross, Sydney",Partial College,Professional,3
228,11227,Colma,California,"Chavez, Marshall",Partial College,Professional,3
229,11228,El Cajon,California,"Jones, Ashley",Partial College,Professional,3
230,11229,Redwood City,California,"Stewart, Adrian",Partial College,Professional,3
231,11230,Santa Monica,California,"Turner, Amber",Partial College,Professional,3
232,11231,Bremerton,Washington,"Zhang, Dennis",High School,Professional,3
233,11232,Everett,Washington,"Bryant, Hailey",High School,Professional,3
234,11233,Berkeley,California,"Li, Todd",Partial College,Professional,3
235,11234,Long Beach,California,"Griffin, Anna",Partial College,Professional,3
236,11235,Ballard,Washington,"Stewart, Angel",Partial College,Professional,3
237,11236,Bellingham,Washington,"Butler, Jeremy",Partial College,Professional,3
238,11237,Solingen,North Rhine-Westphalia,"Anand, Clarence",Bachelors,Management,2
246,11245,Hamburg,Hamburg,"Vazquez, Ricky",High School,Professional,2
247,11246,Hamburg,Hamburg,"Rubio, Latasha",High School,Professional,2
250,11249,Sulzbach Taunus,Saar,"Patel, Cindy",Partial College,Professional,2
253,11252,Lemon Grove,California,"Thompson, Nicholas",Graduate Degree,Management,3
255,11254,Burien,Washington,"Vance, Johnathan",Graduate Degree,Management,3
256,11255,Burien,Washington,"Lin, Colin",Graduate Degree,Management,3
257,11256,Lynnwood,Washington,"Hernandez, Katelyn",Graduate Degree,Management,3
258,11257,Newport Beach,California,"Powell, Jacqueline",Graduate Degree,Management,3
259,11258,Palo Alto,California,"Hill, Xavier",Graduate Degree,Management,3
260,11259,Salem,Oregon,"Stewart, Victoria",Partial College,Professional,3
261,11260,Burlingame,California,"Kelly, Katelyn",Bachelors,Management,3
262,11261,San Diego,California,"Collins, Stephanie",Graduate Degree,Management,3
264,11263,Burien,Washington,"Richardson, Trinity",Partial College,Professional,3
265,11264,Issaquah,Washington,"Martin, Eduardo",Partial College,Professional,3
266,11265,Kirkland,Washington,"Jones, Elizabeth",Partial College,Professional,3
267,11266,Port Orchard,Washington,"Howard, Taylor",Partial College,Professional,3
268,11267,Burlingame,California,"Diaz, David",Partial College,Professional,3
269,11268,Coronado,California,"Carter, Katelyn",Graduate Degree,Management,3
270,11269,Daly City,California,"Foster, Ryan",Graduate Degree,Management,3
271,11270,Lakewood,California,"Lee, Robert",Graduate Degree,Management,3
272,11271,San Francisco,California,"Reed, Danielle",Bachelors,Management,3
273,11272,Beverly Hills,California,"Martinez, Lauren",Partial College,Professional,3
274,11273,La Jolla,California,"Lal, Nathan",Partial College,Professional,3
275,11274,Bellingham,Washington,"Foster, Kyle",Graduate Degree,Management,3
276,11275,Colma,California,"Rai, Jenny",Graduate Degree,Management,3
279,11278,Edmonds,Washington,"Phillips, Jonathan",Partial College,Professional,3
280,11279,Everett,Washington,"Cook, Amanda",Partial College,Professional,3
281,11280,Lynnwood,Washington,"Collins, Robert",Partial College,Professional,3
282,11281,Burbank,California,"Barnes, Megan",Bachelors,Management,3
283,11282,Burien,Washington,"Thomas, Christian",Partial College,Professional,3
284,11283,Berkeley,California,"Lal, Arturo",Bachelors,Management,3
285,11284,Chula Vista,California,"Serrano, Theresa",Bachelors,Management,3
286,11285,Fremont,California,"Anderson, Jeremy",Partial College,Professional,3
287,11286,Torrance,California,"Griffin, Hunter",Graduate Degree,Management,3
289,11288,Burbank,California,"Sanchez, Cindy",Bachelors,Management,3
290,11289,Downey,California,"Carter, Maria",Bachelors,Management,3
291,11290,Lakewood,California,"Sanchez, Katelyn",Bachelors,Management,3
292,11291,Lemon Grove,California,"Wright, Jenna",Bachelors,Management,3
293,11292,San Gabriel,California,"Phillips, Seth",Partial College,Professional,3
294,11293,Port Orchard,Washington,"Long, Luke",High School,Professional,3
295,11294,Issaquah,Washington,"Clark, Dalton",High School,Professional,3
296,11295,Concord,California,"Lewis, Taylor",Partial High School,Skilled Manual,3
297,11296,Everett,Washington,"Richardson, Haley",Graduate Degree,Management,3
298,11297,Burbank,California,"Coleman, Noah",Graduate Degree,Management,3
299,11298,Chula Vista,California,"Luo, Jon",Graduate Degree,Management,3
300,11299,Burbank,California,"Vazquez, Orlando",Graduate Degree,Management,3
306,11305,Chula Vista,California,"Evans, Sean",Partial College,Professional,3
307,11306,Coronado,California,"Zhou, Micah",Partial College,Professional,3
316,11315,Port Orchard,Washington,"Ward, Hailey",Graduate Degree,Management,3
318,11317,Salem,Oregon,"Russell, Victoria",Partial College,Professional,3
319,11318,Edmonds,Washington,"Wilson, Jessica",Partial College,Professional,3
320,11319,Oakland,California,"Bailey, Jade",Graduate Degree,Management,3
321,11320,Glendale,California,"Hill, Morgan",Graduate Degree,Management,3
322,11321,Burien,Washington,"Raman, Terrance",Bachelors,Management,3
323,11322,Bremerton,Washington,"Garcia, Sydney",Bachelors,Management,3
324,11323,Daly City,California,"Patterson, Jose",Graduate Degree,Management,3
325,11324,Glendale,California,"Anderson, Zachary",Bachelors,Management,3
326,11325,Seattle,Washington,"Ross, Elijah",Bachelors,Management,3
327,11326,Beverly Hills,California,"Xie, Rafael",Bachelors,Management,3
328,11327,Burbank,California,"Moreno, Jaime",Bachelors,Management,3
330,11329,Concord,California,"Alvarez, Andy",Bachelors,Management,3
333,11332,Berlin,Berlin,"Ramos, Deanna",Graduate Degree,Manual,2
336,11335,Hof,Bavaria,"Raman, Carla",Bachelors,Manual,2
339,11338,Bonn,North Rhine-Westphalia,"Navarro, Frank",Graduate Degree,Clerical,2
348,11347,Brunswick,Lower Saxony,"Navarro, Roy",Partial College,Manual,2
349,11348,Paderborn,North Rhine-Westphalia,"Rai, Shawn",Partial College,Manual,2
350,11349,Munich,Bavaria,"Luo, Mindy",Partial College,Manual,2
355,11354,Grevenbroich,North Rhine-Westphalia,"Suarez, Deanna",Partial College,Manual,2
374,11373,Salzgitter,Lower Saxony,"Luo, Carly",Bachelors,Clerical,2
375,11374,Werne,North Rhine-Westphalia,"Ortega, Jimmy",Bachelors,Clerical,2
378,11377,Solingen,North Rhine-Westphalia,"Robinett, David",Graduate Degree,Clerical,2
381,11380,Saarlouis,Saar,"Kumar, Mitchell",Partial College,Manual,2
387,11386,Darmstadt,Hesse,"Cai, Jaclyn",Bachelors,Clerical,2
390,11389,Dusseldorf,North Rhine-Westphalia,"Shan, Karl",High School,Manual,2
392,11391,Salzgitter,Lower Saxony,"Xie, Lindsay",High School,Manual,2
393,11392,Frankfurt,Hesse,"Zhao, Willie",High School,Manual,2
396,11395,Frankfurt,Hesse,"Gutierrez, Beth",Bachelors,Clerical,2
397,11396,Saarlouis,Saar,"Lopez, Ian",High School,Manual,2
405,11404,Kassel,Hesse,"Taylor, Megan",Partial College,Manual,2
406,11405,Bonn,North Rhine-Westphalia,"Goel, Bonnie",Partial College,Manual,2
408,11407,Munster,North Rhine-Westphalia,"She, Mario",Partial College,Manual,2
412,11411,Ingolstadt,Bavaria,"Ross, Devin",Partial College,Professional,2
413,11412,Ingolstadt,Bavaria,"Bryant, Sydney",Partial College,Professional,2
416,11415,Darmstadt,Hesse,"She, Randy",Partial College,Professional,2
419,11418,Paderborn,North Rhine-Westphalia,"Hu, Rafael",Partial College,Professional,2
422,11421,Offenbach am Main,Hesse,"Sun, Amy",Bachelors,Management,2
424,11423,Hamburg,Hamburg,"Stewart, Jasmine",Partial College,Professional,2
425,11424,Berlin,Berlin,"Garcia, Pamela",Partial College,Professional,2
427,11426,Brunswick,Lower Saxony,"Mehta, Kristopher",Bachelors,Management,2
428,11427,Kiel,Schleswig-Holstein,"Dominguez, Desiree",Partial College,Professional,2
429,11428,Poing,Bavaria,"Perez, Deanna",Bachelors,Management,2
431,11430,Bottrop,North Rhine-Westphalia,"Yuan, Casey",High School,Professional,2
432,11431,Hof,Bavaria,"Garcia, Bryant",Partial College,Professional,2
436,11435,Kiel,Schleswig-Holstein,"Romero, Robin",Partial College,Management,2
439,11438,Werne,North Rhine-Westphalia,"Nara, Jenny",High School,Management,2
471,11470,Stuttgart,Baden-Wuerttemberg,"Suarez, Jay",Partial High School,Manual,2
478,11477,Darmstadt,Hesse,"Hughes, Tristan",High School,Manual,2
482,11481,Brunswick,Lower Saxony,"Hu, Erica",Bachelors,Skilled Manual,2
485,11484,Neunkirchen,North Rhine-Westphalia,"Sai, Erick",Partial College,Clerical,2
487,11486,Erlangen,Bavaria,"Rogers, Ariana",Partial High School,Manual,2
493,11492,Eilenburg,Saxony,"Chander, Terrence",High School,Manual,2
496,11495,Bonn,North Rhine-Westphalia,"Jimenez, Francis",Partial College,Clerical,2
500,11499,Concord,California,"Vance, Pedro",Partial College,Clerical,3
505,11504,Downey,California,"Baker, Jordan",Bachelors,Skilled Manual,3
509,11508,Lynnwood,Washington,"Wilson, Elizabeth",Graduate Degree,Skilled Manual,3
510,11509,Novato,California,"Harui, Roger",Bachelors,Skilled Manual,3
512,11511,Lebanon,Oregon,"Perry, Caleb",Bachelors,Skilled Manual,3
515,11514,Tacoma,Washington,"Diaz, Dalton",High School,Clerical,3
516,11515,Burbank,California,"Huang, Shannon",High School,Clerical,3
517,11516,Colma,California,"Gonzales, Mya",High School,Clerical,3
518,11517,Redwood City,California,"Bryant, Katherine",Partial College,Clerical,3
519,11518,Milwaukie,Oregon,"Washington, Edward",Partial College,Clerical,3
522,11521,Walla Walla,Washington,"Peterson, Ariana",Partial College,Clerical,3
523,11522,Oregon City,Oregon,"Hughes, Christian",Graduate Degree,Skilled Manual,3
525,11524,Torrance,California,"Jackson, Alyssa",Partial College,Clerical,3
545,11544,Darmstadt,Hesse,"Garcia, Joel",Bachelors,Clerical,2
553,11552,Salzgitter,Lower Saxony,"Rubio, Eddie",Partial College,Manual,2
560,11559,Solingen,North Rhine-Westphalia,"Subram, Frederick",Bachelors,Clerical,2
562,11561,Munich,Bavaria,"Dominguez, Briana",Partial High School,Manual,2
563,11562,Leipzig,Saxony,"Gonzalez, Jarrod",High School,Manual,2
565,11564,Frankfurt,Hesse,"Liang, Jorge",High School,Manual,2
568,11567,Berlin,Berlin,"Perez, Carla",Bachelors,Clerical,2
571,11570,Berlin,Berlin,"Andersen, Kristin",Bachelors,Skilled Manual,2
585,11584,Neunkirchen,North Rhine-Westphalia,"Carter, Devin",Bachelors,Skilled Manual,2
596,11595,Erlangen,Bavaria,"Howard, Sebastian",High School,Manual,2
599,11598,Saarbrücken,Saar,"Ruiz, Meredith",Partial College,Clerical,2
603,11602,Salzgitter,Lower Saxony,"Gill, Larry",Partial College,Clerical,2
606,11605,Stuttgart,Baden-Wuerttemberg,"Subram, Heidi",High School,Manual,2
614,11613,Leipzig,Saxony,"Prasad, Meredith",Partial College,Clerical,2
615,11614,Offenbach am Main,Hesse,"Sharma, Katrina",Partial College,Clerical,2
640,11639,Mill Valley,California,"Perry, Angelica",Graduate Degree,Professional,3
644,11643,Burien,Washington,"Munoz, Naomi",Bachelors,Skilled Manual,3
645,11644,Redmond,Washington,"Torres, Charles",Bachelors,Skilled Manual,3
646,11645,Salem,Oregon,"Turner, Gabriella",Bachelors,Skilled Manual,3
647,11646,Burien,Washington,"Foster, Anna",Bachelors,Skilled Manual,3
649,11648,Chula Vista,California,"Scott, Kevin",Graduate Degree,Professional,3
650,11649,Newport Beach,California,"White, Ian",Graduate Degree,Professional,3
651,11650,Glendale,California,"Hayes, Caleb",Graduate Degree,Professional,3
654,11653,Lebanon,Oregon,"Peterson, Sydney",Graduate Degree,Professional,3
655,11654,Bellflower,California,"Sanchez, Ariana",Graduate Degree,Professional,3
656,11655,Concord,California,"Sharma, Tamara",Graduate Degree,Professional,3
657,11656,Imperial Beach,California,"Perez, Katelyn",Graduate Degree,Professional,3
658,11657,Novato,California,"Cox, Megan",Graduate Degree,Professional,3
659,11658,Oakland,California,"Mitchell, Robert",Graduate Degree,Professional,3
663,11662,Milwaukie,Oregon,"Kumar, Ethan",Graduate Degree,Professional,3
664,11663,Walla Walla,Washington,"Williams, Seth",Graduate Degree,Professional,3
665,11664,Burlingame,California,"Morgan, Alyssa",Graduate Degree,Professional,3
666,11665,Chula Vista,California,"Dominguez, Janet",Graduate Degree,Professional,3
667,11666,Torrance,California,"Baker, Angel",Graduate Degree,Professional,3
668,11667,Walla Walla,Washington,"Moore, Blake",Bachelors,Skilled Manual,3
669,11668,Beverly Hills,California,"Collins, Jada",Bachelors,Skilled Manual,3
670,11669,Tacoma,Washington,"Simmons, Isabella",Bachelors,Skilled Manual,3
671,11670,Grossmont,California,"Perry, Jacqueline",Bachelors,Skilled Manual,3
672,11671,El Cajon,California,"Brown, Jessica",Bachelors,Skilled Manual,3
673,11672,Beverly Hills,California,"Jai, Chad",Bachelors,Skilled Manual,3
674,11673,Burien,Washington,"Ye, Susan",Bachelors,Skilled Manual,3
675,11674,Woodland Hills,California,"Rogers, Morgan",Graduate Degree,Professional,3
676,11675,Everett,Washington,"Martinez, Devin",Graduate Degree,Professional,3
677,11676,Branch,Minnesota,"Hu, Alan",Graduate Degree,Professional,3
679,11678,Cheyenne,Wyoming,"Chavez, Johnny",Graduate Degree,Professional,3
680,11679,Puyallup,Washington,"Richardson, Dalton",Graduate Degree,Professional,3
681,11680,Redmond,Washington,"Nelson, Kaylee",Graduate Degree,Professional,3
682,11681,Spokane,Washington,"Jones, Abigail",Graduate Degree,Professional,3
683,11682,Tacoma,Washington,"Hall, Kaitlyn",Graduate Degree,Professional,3
684,11683,El Cajon,California,"Taylor, Greg",Graduate Degree,Professional,3
685,11684,Redmond,Washington,"Parker, Devin",Bachelors,Professional,3
686,11685,Milwaukie,Oregon,"Griffin, Jose",Bachelors,Professional,3
687,11686,Glendale,California,"Edwards, Luke",Bachelors,Professional,3
688,11687,La Jolla,California,"Torres, Cody",Bachelors,Professional,3
689,11688,Sedro Woolley,Washington,"Morris, Victoria",Bachelors,Skilled Manual,3
690,11689,Edmonds,Washington,"Diaz, Ian",Bachelors,Skilled Manual,3
691,11690,Port Orchard,Washington,"Butler, Caroline",Graduate Degree,Professional,3
692,11691,Imperial Beach,California,"Wilson, Kaitlyn",Bachelors,Professional,3
693,11692,Burbank,California,"Gonzales, Caleb",Bachelors,Professional,3
695,11694,Colma,California,"Ortega, Jonathon",Bachelors,Skilled Manual,3
696,11695,Beverly Hills,California,"Campbell, Logan",Bachelors,Skilled Manual,3
697,11696,Tacoma,Washington,"Campbell, Mackenzie",Bachelors,Skilled Manual,3
698,11697,Oakland,California,"Lee, Eduardo",Bachelors,Skilled Manual,3
700,11699,Walla Walla,Washington,"Peterson, Chase",Bachelors,Skilled Manual,3
701,11700,Woodland Hills,California,"Richardson, Xavier",Bachelors,Professional,3
702,11701,Novato,California,"Hayes, David",Bachelors,Professional,3
703,11702,Burlingame,California,"Zhou, Jenny",Bachelors,Professional,3
704,11703,La Jolla,California,"Baker, Kaylee",Bachelors,Professional,3
705,11704,Santa Cruz,California,"Hernandez, Evan",Bachelors,Professional,3
706,11705,Woodland Hills,California,"Richardson, Brooke",Graduate Degree,Professional,3
707,11706,Burlingame,California,"Perez, Blake",Bachelors,Professional,3
708,11707,Woodland Hills,California,"Cook, Natalie",Bachelors,Professional,3
709,11708,Lincoln Acres,California,"Weisman, Elizabeth",Bachelors,Professional,3
711,11710,La Jolla,California,"Ramirez, Zoe",High School,Skilled Manual,3
714,11713,Kirkland,Washington,"Zhang, Kyle",Partial College,Skilled Manual,3
715,11714,San Diego,California,"Long, Alexandria",Partial College,Skilled Manual,3
716,11715,San Gabriel,California,"Robinson, Chloe",Partial College,Skilled Manual,3
717,11716,Daly City,California,"Kelly, Evan",High School,Skilled Manual,3
718,11717,Corvallis,Oregon,"Jones, Marcus",Partial College,Skilled Manual,3
719,11718,Oregon City,Oregon,"Jones, Sarah",Partial College,Skilled Manual,3
721,11720,San Diego,California,"Morris, Morgan",High School,Skilled Manual,3
722,11721,Lincoln Acres,California,"Alexander, Jennifer",High School,Skilled Manual,3
723,11722,Bellingham,Washington,"Hughes, Julian",Partial College,Skilled Manual,3
726,11725,Burien,Washington,"Li, Jose",Partial College,Skilled Manual,3
727,11726,Burien,Washington,"Liang, Micah",Partial College,Skilled Manual,3
728,11727,National City,California,"Taylor, Benjamin",Graduate Degree,Professional,3
729,11728,Woodburn,Oregon,"White, Logan",Partial College,Skilled Manual,3
730,11729,Kirkland,Washington,"Campbell, Caleb",Partial College,Skilled Manual,3
731,11730,Redmond,Washington,"Torres, Emma",Partial College,Skilled Manual,3
732,11731,Burlingame,California,"Gill, Tanya",Partial College,Skilled Manual,3
733,11732,Cincinnati,Ohio,"Sanchez, Erick",Partial College,Skilled Manual,3
734,11733,Concord,California,"Schmidt, Kristi",Partial College,Skilled Manual,3
735,11734,Coronado,California,"Chen, Omar",Partial College,Skilled Manual,3
736,11735,Lynnwood,Washington,"Gray, Sydney",Partial College,Skilled Manual,3
737,11736,Fremont,California,"Sanchez, Sebastian",Partial College,Skilled Manual,3
738,11737,Redwood City,California,"Martin, Megan",Bachelors,Professional,3
742,11741,Chula Vista,California,"Chander, Tamara",Graduate Degree,Professional,3
743,11742,Redwood City,California,"Lewis, Edward",Bachelors,Professional,3
744,11743,Spring Valley,California,"Kelly, Chase",Bachelors,Professional,3
745,11744,Spring Valley,California,"Campbell, Stephanie",Bachelors,Professional,3
746,11745,Walla Walla,Washington,"Gonzalez, Allison",Bachelors,Professional,3
747,11746,Tacoma,Washington,"Brooks, Seth",Bachelors,Professional,3
748,11747,Edmonds,Washington,"Davis, Destiny",Graduate Degree,Professional,3
771,11770,Ballard,Washington,"Nara, Peter",Graduate Degree,Skilled Manual,3
772,11771,Marysville,Washington,"Rivera, Isaac",Graduate Degree,Skilled Manual,3
773,11772,Tacoma,Washington,"Moore, Cameron",Graduate Degree,Skilled Manual,3
774,11773,El Cajon,California,"Diaz, Gavin",Graduate Degree,Skilled Manual,3
775,11774,National City,California,"Sanchez, Emma",Graduate Degree,Skilled Manual,3
780,11779,Woodburn,Oregon,"Jackson, Sarah",Graduate Degree,Skilled Manual,3
781,11780,Edmonds,Washington,"Alexander, Jessica",Graduate Degree,Skilled Manual,3
782,11781,Daly City,California,"Gray, Carlos",Graduate Degree,Skilled Manual,3
783,11782,Burbank,California,"Jai, Barbara",Graduate Degree,Skilled Manual,3
784,11783,San Diego,California,"Mitchell, Sara",Graduate Degree,Skilled Manual,3
786,11785,Ballard,Washington,"Diaz, Theodore",Bachelors,Skilled Manual,3
787,11786,Redmond,Washington,"Murphy, Ian",Graduate Degree,Skilled Manual,3
788,11787,Burbank,California,"Nath, Jerry",Graduate Degree,Skilled Manual,3
789,11788,Los Angeles,California,"James, Destiny",Graduate Degree,Professional,3
790,11789,National City,California,"Phillips, Bailey",Bachelors,Skilled Manual,3
791,11790,Chula Vista,California,"Gonzalez, Timothy",Bachelors,Skilled Manual,3
792,11791,Spokane,Washington,"Morgan, Chase",Graduate Degree,Professional,3
793,11792,Colma,California,"Perry, Alexia",Bachelors,Skilled Manual,3
794,11793,Burbank,California,"Rogers, Xavier",Bachelors,Skilled Manual,3
795,11794,Lakewood,California,"Ross, Lauren",Bachelors,Skilled Manual,3
796,11795,Downey,California,"Thomas, Nicole",Bachelors,Skilled Manual,3
797,11796,Downey,California,"Jenkins, Isabel",Bachelors,Skilled Manual,3
798,11797,Oakland,California,"Coleman, Devin",Bachelors,Skilled Manual,3
799,11798,Bremerton,Washington,"Chande, Brendan",Bachelors,Skilled Manual,3
800,11799,Burien,Washington,"Wang, Jessie",Bachelors,Skilled Manual,3
801,11800,Beaverton,Oregon,"Baker, Jennifer",Graduate Degree,Professional,3
802,11801,Beaverton,Oregon,"Sharma, Aaron",Graduate Degree,Professional,3
804,11803,Olympia,Washington,"Hernandez, Jan",Graduate Degree,Professional,3
805,11804,Redmond,Washington,"Turner, Haley",Graduate Degree,Professional,3
806,11805,Beverly Hills,California,"Green, Richard",Graduate Degree,Professional,3
807,11806,Burlingame,California,"Stewart, Jennifer",Graduate Degree,Professional,3
808,11807,National City,California,"Baker, Lucas",Graduate Degree,Professional,3
810,11809,Beverly Hills,California,"Gray, Juan",Bachelors,Skilled Manual,3
811,11810,Bremerton,Washington,"Washington, Antonio",Bachelors,Professional,3
812,11811,Colma,California,"Brooks, Abigail",Bachelors,Professional,3
813,11812,Walla Walla,Washington,"Rodriguez, Andrew",Bachelors,Professional,3
814,11813,W. Linn,Oregon,"Patterson, Mary",Bachelors,Professional,3
815,11814,Lake Oswego,Oregon,"Morgan, Dalton",Graduate Degree,Professional,3
816,11815,Tacoma,Washington,"Patterson, Hannah",Graduate Degree,Professional,3
817,11816,Beverly Hills,California,"Torres, Joe",Graduate Degree,Professional,3
818,11817,Colma,California,"Miller, Morgan",Graduate Degree,Professional,3
819,11818,Coronado,California,"Garcia, Daniel",Graduate Degree,Professional,3
820,11819,Everett,Washington,"Lal, Jose",Bachelors,Skilled Manual,3
822,11821,Beverly Hills,California,"Johnson, Austin",Graduate Degree,Professional,3
823,11822,Lincoln Acres,California,"Wadia, Rohinton",Graduate Degree,Professional,3
826,11825,Bellflower,California,"She, Aimee",Graduate Degree,Professional,3
827,11826,Beverly Hills,California,"Alonso, Jessie",Graduate Degree,Professional,3
829,11828,Milwaukie,Oregon,"Martinez, Katherine",Graduate Degree,Professional,3
830,11829,Seattle,Washington,"Campbell, Sophia",Graduate Degree,Professional,3
831,11830,Lincoln Acres,California,"Garcia, Taylor",Graduate Degree,Professional,3
832,11831,San Carlos,California,"Ross, Christian",Graduate Degree,Professional,3
833,11832,Walla Walla,Washington,"Murphy, Zoe",Bachelors,Professional,3
835,11834,Mill Valley,California,"Flores, Fernando",Bachelors,Skilled Manual,3
837,11836,Everett,Washington,"Travers, Garrett",Bachelors,Skilled Manual,3
